Data;Godzina;Material;Event_Type;Offset_ID;Limit[mm];Ultra[mm];Sharp[mm];Laser[mm];Trigger
18.02.2026;11:24:36.991;Testowy;PRE-HIT;-5;200;0;229;213;---
18.02.2026;11:24:37.085;Testowy;PRE-HIT;-4;200;0;231;207;---
18.02.2026;11:24:37.118;Testowy;PRE-HIT;-3;200;0;220;205;---
18.02.2026;11:24:37.194;Testowy;PRE-HIT;-2;200;0;222;206;---
18.02.2026;11:24:37.245;Testowy;PRE-HIT;-1;200;0;214;194;---
18.02.2026;11:24:37.246;Testowy;SNAPSHOT;0;200;0;214;194;LASER
2026-02-18;11:25:33.558;Testowy;PRE-HIT;-5;200;0;626;375;---
2026-02-18;11:25:33.624;Testowy;PRE-HIT;-4;200;0;590;8170;---
2026-02-18;11:25:33.686;Testowy;PRE-HIT;-3;200;0;502;265;---
2026-02-18;11:25:33.750;Testowy;PRE-HIT;-2;200;0;265;217;---
2026-02-18;11:25:33.845;Testowy;PRE-HIT;-1;200;0;217;165;---
2026-02-18;11:25:33.845;Testowy;SNAPSHOT;0;200;0;217;165;LASER

2026-02-18;11:26:11.925;Testowy;PRE-HIT;-5;200;0;219;212;---
2026-02-18;11:26:11.989;Testowy;PRE-HIT;-4;200;0;218;205;---
2026-02-18;11:26:12.053;Testowy;PRE-HIT;-3;200;0;218;212;---
2026-02-18;11:26:12.116;Testowy;PRE-HIT;-2;200;0;218;204;---
2026-02-18;11:26:12.205;Testowy;PRE-HIT;-1;200;0;218;192;---
2026-02-18;11:26:12.205;Testowy;SNAPSHOT;0;200;0;218;192;LASER

